,ITEM_ID,VISIT_AREA_NM,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
0,1,DMZ 장단콩두부마을,경기 파주시 탄현면 평화로 902,경기 파주시 탄현면 성동리 279,126.6896479,37.78613016
1,2,한국근현대사박물관,경기 파주시 탄현면 헤이리마을길 59-85,경기 파주시 탄현면 법흥리 1652-10,126.695182,37.79086743
2,3,사파리체험테마파크,경기 파주시 탄현면 헤이리마을길 93-75,경기 파주시 탄현면 법흥리 1652-34,126.6963991,37.79086337
3,4,수도국산 달동네박물관,인천 동구 솔빛로 51,인천 동구 송현동 163,126.6391359,37.47748126
4,5,인천내리교회,인천 중구 우현로67번길 3-1,인천 중구 내동 29,126.6288121,37.47375515
5,6,부평문화의거리,인천 부평구 광장로 6,인천 부평구 부평동 224-1,126.7242776,37.49416297
6,7,인천배다리헌책방거리,,인천 동구 금곡동 87-6,126.6364058,37.4725588
7,8,인천개항장 근대건축전시관,인천 중구 신포로23번길 77,인천 중구 중앙동2가 24-1,126.621165,37.47294521
8,9,송월동동화마을,,인천 중구 송월동3가 17,126.6203491,37.47801795
9,10,송도한옥마을,인천 연수구 테크노파크로 180,인천 연수구 송도동 24-17,126.6388695,37.39086441
10,11,월미전통정원,,인천 중구 북성동1가 75-1,126.6057526,37.47411655
11,12,신포국제시장,인천 중구 우현로49번길 11-5,인천 중구 신포동 3-2,126.6267206,37.47148884
12,13,월미산,인천 중구 월미로 419,인천 중구 북성동1가 99,126.6039608,37.47176434
13,14,월미공원 전망대,,인천 중구 북성동1가 산 1,126.6052929,37.4695271
14,15,송도센트럴파크,,인천 연수구 송도동 24-5,126.6386297,37.39306396
15,16,G타워전망대,인천 연수구 아트센터대로 175,인천 연수구 송도동 24-4,126.6342006,37.39608587
16,17,행주산성,경기 고양시 덕양구 행주로15번길 89,경기 고양시 덕양구 행주내동 65-3,126.8287096,37.59610126
17,18,미사리조정경기장체육여가공원,경기 하남시 미사대로 505,경기 하남시 망월동 1-1,127.2051733,37.56173743
18,19,쁘띠프랑스,경기 가평군 청평면 호반로 1063,경기 가평군 청평면 고성리 616-2,127.4905368,37.71499518
19,20,자라섬,,경기 가평군 가평읍 달전리 30,127.5279467,37.81575236
20,21,효자로 가을단풍길,,,128.8814995,37.7541665
21,22,무궁화동산,,충남 계룡시 신도안면 정장리 172-6,127.2353678,36.29917006
22,23,서울숲,,서울 성동구 성수동1가 678-1,127.0376178,37.54432223
23,24,서울랜드,,경기 과천시 막계동 108,127.0187021,37.43390283
24,25,아트포레스트,서울 종로구 대학로12길 22,서울 종로구 동숭동 1-66,127.0030885,37.58249439
25,26,망원시장,,서울 마포구 망원동 403-6,126.9064647,37.55530498
26,27,청계광장,강원도 춘천시 영서로 2260,서울 중구 태평로1가 1,126.9775921,37.56907469
27,28,동구릉,경기 구리시 동구릉로 197,경기 구리시 인창동 66,127.1320504,37.61942243
